"","Client ID","Cluster Number"
"1139",51139,2
"1140",51140,7
"1141",51141,2
"1142",51142,3
"1143",51143,2
"1144",51144,1
"1145",51145,7
"1146",51146,2
"1147",51147,2
"1148",51148,2
"1149",51149,7
"1150",51150,6
"1151",51151,2
"1152",51152,5
"1153",51153,5
"1154",51154,2
"1155",51155,6
"1156",51156,2
"1157",51157,6
"1158",51158,7
"1159",51159,6
"1160",51160,4
"1161",51161,4
"1162",51162,2
"1163",51163,3
"1164",51164,2
"1165",51165,3
"1166",51166,6
"1167",51167,6
"1168",51168,7
"1169",51169,7
"1170",51170,4
"1171",51171,4
"1172",51172,6
"1173",51173,2
"1174",51174,2
"1175",51175,2
"1176",51176,2
"1177",51177,6
"1178",51178,3
"1179",51179,8
"1180",51180,2
"1181",51181,7
"1182",51182,2
"1183",51183,2
"1184",51184,3
"1185",51185,7
"1186",51186,6
"1187",51187,7
"1188",51188,2
"1189",51189,7
"1190",51190,2
"1191",51191,2
"1192",51192,7
"1193",51193,3
"1194",51194,8
"1195",51195,2
"1196",51196,2
"1197",51197,6
"1198",51198,5
"1199",51199,2
"1200",51200,1
"1201",51201,2
"1202",51202,7
"1203",51203,2
"1204",51204,2
"1205",51205,3
"1206",51206,4
"1207",51207,2
"1208",51208,7
"1209",51209,2
"1210",51210,6
"1211",51211,4
"1212",51212,2
"1213",51213,8
"1214",51214,2
"1215",51215,3
"1216",51216,3
"1217",51217,6
"1218",51218,4
"1219",51219,5
"1220",51220,2
"1221",51221,6
"1222",51222,4
"1223",51223,7
"1224",51224,2
"1225",51225,4
"1226",51226,3
"1227",51227,4
"1228",51228,2
"1229",51229,4
"1230",51230,7
"1231",51231,5
"1232",51232,2
"1233",51233,2
"1234",51234,1
"1235",51235,5
"1236",51236,2
"1237",51237,6
"1238",51238,7
"1239",51239,7
"1240",51240,7
"1241",51241,6
"1242",51242,2
"1243",51243,3
"1244",51244,2
"1245",51245,6
"1246",51246,7
"1247",51247,6
"1248",51248,7
"1249",51249,2
"1250",51250,6
"1251",51251,2
"1252",51252,1
"1253",51253,5
"1254",51254,2
"1255",51255,1
"1256",51256,2
"1257",51257,7
"1258",51258,1
"1259",51259,7
"1260",51260,3
"1261",51261,7
"1262",51262,2
"1263",51263,7
"1264",51264,8
"1265",51265,2
"1266",51266,3
"1267",51267,3
"1268",51268,1
"1269",51269,3
"1270",51270,6
"1271",51271,7
"1272",51272,4
"1273",51273,2
"1274",51274,2
"1275",51275,7
"1276",51276,7
"1277",51277,2
"1278",51278,4
"1279",51279,7
"1280",51280,2
"1281",51281,3
"1282",51282,7
"1283",51283,5
"1284",51284,5
"1285",51285,6
"1286",51286,8
"1287",51287,4
"1288",51288,7
"1289",51289,4
"1290",51290,4
"1291",51291,2
"1292",51292,6
"1293",51293,7
"1294",51294,7
"1295",51295,1
"1296",51296,4
"1297",51297,8
"1298",51298,4
"1299",51299,2
"1300",51300,2
"1301",51301,1
"1302",51302,1
"1303",51303,7
"1304",51304,2
"1305",51305,3
"1306",51306,7
"1307",51307,3
"1308",51308,7
"1309",51309,7
"1310",51310,2
"1311",51311,2
"1312",51312,5
"1313",51313,6
"1314",51314,6
"1315",51315,1
"1316",51316,3
"1317",51317,4
"1318",51318,7
"1319",51319,7
"1320",51320,5
"1321",51321,5
"1322",51322,4
"1323",51323,8
"1324",51324,2
"1325",51325,4
"1326",51326,8
"1327",51327,4
"1328",51328,5
"1329",51329,3
"1330",51330,3
"1331",51331,1
"1332",51332,2
"1333",51333,7
"1334",51334,8
"1335",51335,6
"1336",51336,2
"1337",51337,6
"1338",51338,3
"1339",51339,3
"1340",51340,3
"1341",51341,7
"1342",51342,2
"1343",51343,2
"1344",51344,4
"1345",51345,7
"1346",51346,5
"1347",51347,5
"1348",51348,3
"1349",51349,6
"1350",51350,7
"1351",51351,3
"1352",51352,1
"1353",51353,4
"1354",51354,3
"1355",51355,1
"1356",51356,5
"1357",51357,1
"1358",51358,5
"1359",51359,7
"1360",51360,2
"1361",51361,3
"1362",51362,3
"1363",51363,4
"1364",51364,7
"1365",51365,3
"1366",51366,2
"1367",51367,2
"1368",51368,2
"1369",51369,3
"1370",51370,1
"1371",51371,2
"1372",51372,2
"1373",51373,5
"1374",51374,2
"1375",51375,8
"1376",51376,4
"1377",51377,3
"1378",51378,1
"1379",51379,2
"1380",51380,5
"1381",51381,2
"1382",51382,7
"1383",51383,2
"1384",51384,4
"1385",51385,2
"1386",51386,3
"1387",51387,7
"1388",51388,7
"1389",51389,6
"1390",51390,7
"1391",51391,7
"1392",51392,1
"1393",51393,3
"1394",51394,7
"1395",51395,7
"1396",51396,7
"1397",51397,4
"1398",51398,7
"1399",51399,1
"1400",51400,1
"1401",51401,3
"1402",51402,8
"1403",51403,2
"1404",51404,3
"1405",51405,5
"1406",51406,2
"1407",51407,7
"1408",51408,6
"1409",51409,7
"1410",51410,2
"1411",51411,8
"1412",51412,7
"1413",51413,6
"1414",51414,6
"1415",51415,7
"1416",51416,1
"1417",51417,2
"1418",51418,5
"1419",51419,2
"1420",51420,2
"1421",51421,2
"1422",51422,1
"1423",51423,5
"1424",51424,4
"1425",51425,7
"1426",51426,2
"1427",51427,7
"1428",51428,4
"1429",51429,6
"1430",51430,3
"1431",51431,6
"1432",51432,2
"1433",51433,4
"1434",51434,7
"1435",51435,7
"1436",51436,6
"1437",51437,5
"1438",51438,8
"1439",51439,4
"1440",51440,2
"1441",51441,3
"1442",51442,1
"1443",51443,2
"1444",51444,6
"1445",51445,1
"1446",51446,5
"1447",51447,4
"1448",51448,2
"1449",51449,2
"1450",51450,2
"1451",51451,7
"1452",51452,7
"1453",51453,4
"1454",51454,2
"1455",51455,2
"1456",51456,7
"1457",51457,5
"1458",51458,6
"1459",51459,2
"1460",51460,8
"1461",51461,7
"1462",51462,2
"1463",51463,4
"1464",51464,2
"1465",51465,6
"1466",51466,5
"1467",51467,3
"1468",51468,2
"1469",51469,7
"1470",51470,1
"1471",51471,7
"1472",51472,2
"1473",51473,2
"1474",51474,3
"1475",51475,2
"1476",51476,1
"1477",51477,2
"1478",51478,4
"1479",51479,2
"1480",51480,3
"1481",51481,7
"1482",51482,6
"1483",51483,6
"1484",51484,5
"1485",51485,5
"1486",51486,8
"1487",51487,7
"1488",51488,8
"1489",51489,4
"1490",51490,2
"1491",51491,6
"1492",51492,2
"1493",51493,2
"1494",51494,2
"1495",51495,7
"1496",51496,8
"1497",51497,4
"1498",51498,2
"1499",51499,3
"1500",51500,2
"1501",51501,7
"1502",51502,7
"1503",51503,2
"1504",51504,2
"1505",51505,7
"1506",51506,5
"1507",51507,3
"1508",51508,8
"1509",51509,1
"1510",51510,4
"1511",51511,3
"1512",51512,2
"1513",51513,6
"1514",51514,7
"1515",51515,7
"1516",51516,2
"1517",51517,3
"1518",51518,4
"1519",51519,3
"1520",51520,2
"1521",51521,3
"1522",51522,1
"1523",51523,3
"1524",51524,7
"1525",51525,2
"1526",51526,5
"1527",51527,6
"1528",51528,7
"1529",51529,6
"1530",51530,3
"1531",51531,6
"1532",51532,2
"1533",51533,6
"1534",51534,3
"1535",51535,7
"1536",51536,3
"1537",51537,7
"1538",51538,3
"1539",51539,6
"1540",51540,2
"1541",51541,7
"1542",51542,5
"1543",51543,3
"1544",51544,7
"1545",51545,2
"1546",51546,7
"1547",51547,7
"1548",51548,2
"1549",51549,3
"1550",51550,2
"1551",51551,2
"1552",51552,3
"1553",51553,2
"1554",51554,2
"1555",51555,5
"1556",51556,3
"1557",51557,2
"1558",51558,8
"1559",51559,2
"1560",51560,2
"1561",51561,6
"1562",51562,5
"1563",51563,2
"1564",51564,7
"1565",51565,8
"1566",51566,2
"1567",51567,2
"1568",51568,3
"1569",51569,2
"1570",51570,7
"1571",51571,7
"1572",51572,8
"1573",51573,1
"1574",51574,5
"1575",51575,2
"1576",51576,7
"1577",51577,2
"1578",51578,6
"1579",51579,7
"1580",51580,2
"1581",51581,1
"1582",51582,2
"1583",51583,7
"1584",51584,3
"1585",51585,7
"1586",51586,6
"1587",51587,2
"1588",51588,2
"1589",51589,7
"1590",51590,2
"1591",51591,6
"1592",51592,6
"1593",51593,2
"1594",51594,2
"1595",51595,8
"1596",51596,5
"1597",51597,1
"1598",51598,8
"1599",51599,7
"1600",51600,2
"1601",51601,3
"1602",51602,2
"1603",51603,2
"1604",51604,7
"1605",51605,6
"1606",51606,2
"1607",51607,2
"1608",51608,2
"1609",51609,3
"1610",51610,5
"1611",51611,7
"1612",51612,2
"1613",51613,6
"1614",51614,7
"1615",51615,7
"1616",51616,7
"1617",51617,6
"1618",51618,2
"1619",51619,6
"1620",51620,6
"1621",51621,7
"1622",51622,3
"1623",51623,2
"1624",51624,6
"1625",51625,7
"1626",51626,6
"1627",51627,8
"1628",51628,2
"1629",51629,8
"1630",51630,2
"1631",51631,4
"1632",51632,2
"1633",51633,4
"1634",51634,7
"1635",51635,2
"1636",51636,2
"1637",51637,3
"1638",51638,5
"1639",51639,2
"1640",51640,7
"1641",51641,1
"1642",51642,2
"1643",51643,2
"1644",51644,3
"1645",51645,2
"1646",51646,6
"1647",51647,2
"1648",51648,3
"1649",51649,3
"1650",51650,2
"1651",51651,7
"1652",51652,4
"1653",51653,6
"1654",51654,1
"1655",51655,1
"1656",51656,7
"1657",51657,5
"1658",51658,7
"1659",51659,4
